kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_steff,koi_srad,koi_slogg,koi_kepmag
"K07196.01","FALSE POSITIVE",0.609662423,4.24033,140917,0.799,110.14,7498.00,2.2740,3.964,12.216
"K07198.01","FALSE POSITIVE",0.953299962,1.69478,2236.6,1.267,35.67,6183.00,1.0200,4.407,14.538
"K07200.01","FALSE POSITIVE",2.745640575,3.04508,45264.7,1.117,47.22,5780.00,1.0000,4.438,15.945
"K07328.01","FALSE POSITIVE",12.180721266,4.15602,414950,0.479,63.25,5750.00,0.8820,4.538,15.386
"K07329.01","FALSE POSITIVE",50.467024395,8.96181,103144,0.973,52.88,6137.00,1.0120,4.448,14.884
"K07331.01","FALSE POSITIVE",0.84986054,1.3875,6571.5,1.26,67.45,5164.00,1.6760,3.949,14.319
"K07332.01","FALSE POSITIVE",0.933728196,3.441,67.7,0.015,0.85,6170.00,1.0320,4.430,15.317
"K07333.01","FALSE POSITIVE",2.03742712,3.939,36,0.791,0.9,6356.00,1.3580,4.215,13.929
"K07334.01","FALSE POSITIVE",5.274819905,4.6688,108965,0.99,100.89,7247.00,1.8340,4.111,12.465
"K07458.01","FALSE POSITIVE",0.527678272,2.33166,247744,0.385,75.31,5321.00,1.4750,4.069,10.834
"K07459.01","FALSE POSITIVE",3.55027051,1.879,212.7,0.022,1.15,5497.00,0.8000,4.581,15.810
"K07461.01","FALSE POSITIVE",65.4317194,12.2384,153407,0.885,59.22,6201.00,1.0400,4.431,15.540
"K07462.01","FALSE POSITIVE",1.718649321,3.94095,190567,0.421,39.08,6071.00,0.8650,4.541,13.510
"K07463.01","FALSE POSITIVE",7.2949175,41.04,182.8,1.132,11.67,5289.00,0.7310,4.614,15.848
"K07464.01","FALSE POSITIVE",7.2935801,40.02,124.5,1.157,17.41,5900.00,0.9510,4.509,14.973
"K07465.01","FALSE POSITIVE",42.9261364,2.578,378.4,0.2964,1.84,5628.00,0.9530,4.503,15.395
"K06279.01","FALSE POSITIVE",1.89129338,5.677,33.8,0.373,0.42,4986.00,0.7330,4.558,13.558
"K06280.01","FALSE POSITIVE",1.89124453,5.08,31,0.734,1.19,5850.00,1.9770,3.720,12.760
"K06281.01","FALSE POSITIVE",1.89134201,4.674,128.9,0.2376,0.92,5658.00,0.8150,4.567,15.799
"K06282.01","FALSE POSITIVE",87.87826191,12.8138,339056,0.585,110.85,5784.00,1.6420,3.985,12.744
"K06283.01","FALSE POSITIVE",15.926632768,7.42888,271858,0.672,57.95,5496.00,0.9170,4.471,14.880
"K06284.01","FALSE POSITIVE",0.958116585,2.3496,2374.1,1.275,49.16,6032.00,1.3650,4.147,12.735
"K06285.01","FALSE POSITIVE",39.841522897,8.79024,143685,0.902,116.52,6078.00,2.0700,3.946,12.003
"K06286.01","FALSE POSITIVE",1.891268461,8.24958,641910,0.183,399.93,11287.00,4.6620,3.642,10.672
"K06287.01","FALSE POSITIVE",1.89114441,8.724,49.9,1.088,6.57,4267.00,0.6270,4.637,13.814
"K06411.01","FALSE POSITIVE",61.25964956,12.1777,233258,0.741,54.72,5912.00,0.8890,4.532,15.518
"K06412.01","FALSE POSITIVE",0.872359598,3.74512,267053,0.686,67.08,6240.00,1.0480,4.391,14.742
"K06413.01","FALSE POSITIVE",374.318792,5.96,1.5414e+06,0.8507,243.21,5997.00,0.8150,4.572,15.369
